0.123962,-0.244934,0.388550,0.169861,0.458435,0.444336,-0.344788,0.508606,0.674194,0.349426
0.579041,0.161072,0.348206,0.497437,-0.242554,-0.115967,0.829590,-0.001587,0.392822,-0.315369
-0.058472,0.550903,0.072266,0.029358,-0.004822,0.016418,-0.020386,0.156860,0.386780,0.114563
1.223877,-0.514038,0.402405,0.235291,0.119568,0.244568,0.836426,0.479919,0.374451,0.682861
0.524841,-0.210327,0.131958,0.236206,0.650208,0.006470,0.340210,0.232422,0.195068,0.363831
-0.067566,0.747253,0.138489,0.154053,0.089722,0.072327,-0.119812,0.213928,0.536377,0.197693
-0.086609,-0.328918,0.125305,0.227356,0.758423,0.237122,0.145203,0.024902,0.600708,0.286316
-0.159485,-0.030640,-0.183289,0.307983,0.526550,0.328308,0.384521,0.309448,0.415955,0.516418
1.042542,0.278381,0.480225,-0.103271,0.372009,-0.061035,0.507019,0.263123,0.317627,0.194580
0.106384,-0.001221,0.334961,0.127930,0.589478,0.265503,-0.014282,0.592529,1.035217,0.444702
1.403137,-0.252075,0.588257,0.426392,0.052246,0.340637,0.262146,0.198303,0.258484,0.095093
0.558472,0.181519,0.546753,0.375793,0.213013,-0.178955,0.670593,0.207275,0.417297,0.357117
0.037170,-0.190369,0.022034,0.083618,0.931641,0.109436,0.221863,0.098999,0.576782,0.469788
1.028381,-0.327209,0.428894,0.166687,0.473938,0.198181,0.340576,0.058899,0.417603,0.349548
-0.097717,0.469666,0.078735,0.101379,-0.129028,0.021667,0.227600,0.101074,0.478699,0.118896
0.410339,-0.100098,-0.014343,0.321838,0.004456,0.138855,0.347717,0.274109,0.215088,0.067566
0.543030,-0.219971,0.082031,0.167542,0.762024,0.014160,0.377930,0.113403,0.286499,0.456787
0.448792,-0.312866,0.239563,0.392395,0.419739,0.399109,-0.070618,0.561768,0.495178,0.502808
0.213196,0.286865,0.071655,0.644653,0.036377,0.246155,0.641357,0.266541,0.278809,0.090210
0.066650,-0.085144,0.024292,0.393372,0.727356,0.177979,0.049194,-0.160156,0.273682,0.249207
0.006409,0.058899,0.188782,0.436462,0.396484,0.285706,-0.173279,0.414246,1.095276,0.383362
0.486816,-0.479431,0.081482,0.293640,0.241394,0.194641,0.926025,-0.067078,0.151245,0.246277
0.400330,0.144836,0.333069,0.044556,0.535034,-0.158447,0.591797,0.276978,0.267029,0.201782
0.276855,-0.095276,-0.130798,0.029114,0.171692,0.062012,0.427246,0.165649,0.223938,0.187683
0.181702,0.056152,-0.008301,0.171082,0.648926,0.020508,0.088257,0.179260,0.152771,0.381104
1.893433,-0.126099,0.933167,0.327698,0.391968,0.319580,0.552368,0.773560,0.740356,0.506775
0.337524,-0.068787,0.069214,0.249573,0.090576,0.111023,0.300903,0.372070,0.364441,0.544434
0.456909,-0.292175,0.020813,0.319702,0.830750,0.024353,0.475586,-0.013245,0.249390,0.474182
1.078674,-0.385864,0.366455,0.369568,0.088440,0.246460,0.517822,0.077515,0.424377,0.211731
-0.182861,0.158447,-0.053711,0.057800,0.085510,0.116394,0.311829,0.066772,0.250854,0.139221
