id,revolvingutilizationofunsecuredlines,age,numberoftime30_59dayspastduenotworse,debtratio,monthlyincome
59111,0.568867668,67,0,0.585326134,23333
89892,0.9090039879999999,45,6,0.659060876,11350
46690,0.9999998999999999,36,0,0.031488395,6160
73462,0.9999998999999999,49,0,0.37800687299999997,3200
26348,0.9999998999999999,75,0,0.6645376279999999,3600
75732,0.900049975,31,0,0.298814455,7000
66176,0.96100325,49,2,0.773226042,4100
46355,0.9999998999999999,47,0,0.730741541,4166
91730,0.136050119,77,2,0.343635531,8735
22279,0.748634386,30,3,0.200933631,4926
16641,0.9999998999999999,42,0,0.016558675,8333
27294,0.451967027,45,0,0.18006993,4575
48846,0.700310832,27,1,0.24151769399999998,2740
53955,0.9999998999999999,32,98,0.0,1800
82303,0.9999998999999999,36,2,0.409015578,3016
4210,0.24037676300000002,68,0,0.342531494,5000
59553,0.165551165,82,0,0.009149543000000001,6666
44400,0.562254343,37,0,0.509432704,15000
29844,0.956841035,47,0,0.135920019,4200
5515,0.0,42,0,0.93394823,3360
16655,0.035448228,65,0,0.061141805,2714
57086,0.12729458800000001,71,0,0.271513632,15954
67844,0.182277319,34,0,0.06657042,6233
76079,0.882154469,66,1,0.302232589,3000
1432,0.703167083,55,0,0.17480229100000003,11000
45359,0.9999998999999999,49,0,0.0,16200
53193,0.841117655,48,1,0.59924812,2659
54624,0.048878042000000003,35,2,0.09758048400000001,5000
28880,0.9999998999999999,36,0,0.078653558,6000
40510,0.9742665140000001,40,3,0.13130352,8407
70009,0.10400755800000001,80,0,0.20553935899999998,6173
61384,0.717147119,59,0,0.411564626,4409
22135,0.521604751,36,1,0.571828833,3925
10898,0.06002869999999999,38,0,0.775215297,6850
59329,0.085459622,60,0,0.245808495,10735
60329,0.13556024,42,0,0.385816018,10250
9559,0.740518962,66,0,0.001195522,9200
56432,0.068386323,30,1,0.002424242,4124
88850,0.031984273,35,0,0.865927419,6943
59846,0.00836498,79,0,0.004461538,6499
93928,0.940211958,46,3,0.265036148,6500
96216,0.016455257,41,0,0.13701291300000001,8750
74460,0.042559894,73,1,0.10237120300000001,10500
51156,0.999917266,42,0,0.40889614399999996,4900
93120,0.9999998999999999,30,1,0.155211197,4000
10493,0.9999998999999999,78,0,0.9683313029999999,2462
74236,0.044228868,65,0,0.045746388,1245
15621,0.6982699929999999,44,0,0.837454398,4933
65987,0.845617444,62,2,0.432971337,5616
70906,0.06188717,63,0,0.215525348,11696
96487,0.72869415,29,0,0.025071555,27600
99446,0.002533309,80,0,0.0029618659999999996,2700
35420,0.0,39,2,0.047596383,2100
40541,0.021021931,39,0,0.45005998799999997,6667
30290,0.0,61,0,0.0,2500
91162,0.9999998999999999,28,98,0.0,2400
7906,0.011075825,87,0,0.007778318,2056
48031,0.121926334,25,0,0.731210191,784
83758,0.9999998999999999,38,0,0.110065535,5950
98586,0.9999998999999999,31,1,0.149875104,1200
76364,3.3600000000000004e-05,52,0,0.0,3700
90620,0.018299028000000002,67,0,0.32621559,3886
18777,0.9999998999999999,40,0,0.153846154,3600
70821,0.9999998999999999,50,0,0.45817727799999997,800
82576,0.375546761,27,0,0.024929445,2125
54000,0.12123935400000001,62,0,0.49677256,7900
89294,0.15734010199999998,69,0,0.19460881,12167
88137,0.653056973,53,0,0.06841612,3200
78274,0.8275929679999999,51,0,0.322573703,9293
51027,0.9999998999999999,38,0,0.668779715,1892
92240,0.504885435,51,1,0.24722091699999998,6386
18331,0.951578252,34,1,0.435854715,3000
82016,0.62766349,72,0,0.305995148,8656
97272,0.657526045,32,3,0.19842338,5200
83780,0.0,59,0,0.22349782399999998,10800
6845,3.37e-05,37,0,0.229544613,2700
87801,0.980868025,42,5,0.415362898,8500
41005,0.252638596,51,1,0.038422987,2992
82748,0.9999998999999999,56,0,0.42149191399999997,3833
39181,0.9999998999999999,50,0,0.690140845,2768
14117,0.9999998999999999,26,1,0.037495312999999995,2666
31033,0.041305645,80,0,0.07121981200000001,6500
35434,0.9999998999999999,29,0,0.158075601,3200
28770,0.035269951,41,0,0.210996073,2800
38701,0.9752195459999999,47,0,0.151248681,5685
9189,0.957035854,49,2,0.305136795,7163
93870,0.9999998999999999,35,0,0.065366829,8000
85984,0.931030296,37,2,0.199019207,7340
67014,0.031828305,62,0,0.376435045,3309
59736,0.063926941,57,0,0.013496626000000001,4000
65232,0.0076796930000000005,59,0,0.208631895,6000
9424,0.9999998999999999,30,0,0.0,4000
55428,0.293748933,51,2,0.042971075,8400
89574,0.495796832,47,0,0.034503039,5100
44688,0.029312634,56,0,0.254810883,10548
14236,0.9999998999999999,61,0,0.050619278,3713
36543,0.170781347,36,2,0.15025749800000002,3300
59306,0.567829174,82,0,0.47631397,5783
17226,0.164902925,40,0,0.329387003,3800
6936,0.8115833020000001,54,2,0.26270759899999996,1986
7602,0.142766919,79,0,0.586876382,4068
70878,0.049105389000000006,68,0,0.161399041,13351
79126,0.904260915,42,1,0.140062435,4804
95664,0.41352423899999996,48,0,0.194927632,22592
82064,0.942814444,49,0,0.588039234,10500
48214,0.9187291679999999,52,1,0.45431726899999997,3983
96597,0.250764095,47,0,0.49646708799999995,5377
40038,0.049042639000000006,55,0,0.39835447399999996,5833
60301,0.096733575,24,0,0.049977283,2200
66722,0.9999998999999999,31,0,0.019423021999999998,3500
59130,0.026362837000000004,65,0,0.12231163099999999,6834
46682,0.982252218,59,2,0.67844052,3000
60519,0.866413359,46,0,0.32109256399999997,6589
30703,0.36268343799999997,32,0,0.013410729,4995
84155,0.04392429900000001,71,0,0.178601166,2401
37944,0.12976828,51,0,0.10059960000000001,1500
21274,0.9872025590000001,67,3,0.6512195120000001,2869
78997,0.199977921,44,0,0.934162556,4662
31175,0.179378255,39,0,0.25009998699999997,7500
86148,0.351926023,38,1,0.8612910970000001,4166
32029,0.13706929699999998,68,0,0.49591513200000004,8200
94700,0.5502255389999999,44,0,0.39179821299999995,11972
14670,0.0,47,0,0.390698772,4235
95282,0.068417014,65,0,0.14848144,8000
84211,0.875555794,56,0,0.6751483620000001,12300
74908,0.002919495,42,4,0.238268695,9333
81397,0.0015826310000000001,97,0,0.001998668,1500
23491,0.80148529,33,1,0.273225917,2916
20570,0.240006909,52,1,0.5517413760000001,6000
97057,0.255045513,64,0,0.40505949399999996,10000
32370,0.318523033,50,1,0.582105263,2849
81992,0.033368912,59,0,0.088735731,4642
9690,0.104589541,63,0,0.225939776,5080
21703,0.212627108,40,1,0.919189114,3600
15018,0.980066445,37,5,0.06659388599999999,5495
55303,0.018107966,31,0,0.178912352,6913
48774,0.8913179259999999,57,0,0.013821898999999999,13890
70178,0.154622556,62,0,0.329995075,6090
